experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
iterations_adaptive,72 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,72 iterations,30,0.50000000,3000000.00000000,0.0087072676,0.0071079619,0.0019785992,0.0006610597,0.0012795228,-0.0000000076
iterations_adaptive,72 iterations,60,1.00000000,3000000.00000000,0.0165310784,0.0149197681,0.0019692772,0.0005561366,0.0012795228,-0.0000000076
iterations_adaptive,72 iterations,120,2.00000000,3000000.00000000,0.0307553403,0.0291247312,0.0019489898,0.0005240346,0.0012795228,-0.0000000076
iterations_adaptive,72 iterations,240,4.00000000,3000000.00000000,0.0552510861,0.0535960905,0.0018978516,0.0005721378,0.0012795228,-0.0000000076
iterations_adaptive,72 iterations,480,8.00000000,3000000.00000000,0.0940104037,0.0923336297,0.0017689635,0.0007008950,0.0012795228,-0.0000000076
iterations_adaptive,96 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,96 iterations,30,0.50000000,3000000.00000000,0.0083819979,0.0067782123,0.0019805408,0.0005848541,0.0011819583,-0.0000000076
iterations_adaptive,96 iterations,60,1.00000000,3000000.00000000,0.0155001014,0.0138844103,0.0019694699,0.0004901220,0.0011819583,-0.0000000076
iterations_adaptive,96 iterations,120,2.00000000,3000000.00000000,0.0280973208,0.0264627319,0.0019470034,0.0004624571,0.0011819583,-0.0000000076
iterations_adaptive,96 iterations,240,4.00000000,3000000.00000000,0.0496412131,0.0479803234,0.0018957396,0.0005064586,0.0011819583,-0.0000000076
iterations_adaptive,96 iterations,480,8.00000000,3000000.00000000,0.0839970696,0.0823080987,0.0017680902,0.0006222462,0.0011819583,-0.0000000076
iterations_adaptive,144 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,144 iterations,30,0.50000000,3000000.00000000,0.0078442589,0.0062331394,0.0019837620,0.0004899973,0.0010472643,-0.0000000076
iterations_adaptive,144 iterations,60,1.00000000,3000000.00000000,0.0139680019,0.0123462388,0.0019689263,0.0004093743,0.0010472643,-0.0000000076
iterations_adaptive,144 iterations,120,2.00000000,3000000.00000000,0.0244743601,0.0228338595,0.0019441532,0.0003873318,0.0010472643,-0.0000000076
iterations_adaptive,144 iterations,240,4.00000000,3000000.00000000,0.0423173729,0.0406480134,0.0018934016,0.0004253000,0.0010472643,-0.0000000076
iterations_adaptive,144 iterations,480,8.00000000,3000000.00000000,0.0710233887,0.0693177655,0.0017703400,0.0005220174,0.0010472643,-0.0000000076
iterations_fixed,4 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,4 iterations,30,0.50000000,3000000.00000000,0.0014858311,-0.0042116186,0.0086857108,0.0010275773,0.0017905800,-0.0000000076
iterations_fixed,4 iterations,60,1.00000000,3000000.00000000,0.0030544400,-0.0060569895,0.0095479758,0.0010856658,0.0017905800,-0.0000000076
iterations_fixed,4 iterations,120,2.00000000,3000000.00000000,0.0053221811,-0.0083505148,0.0096446201,0.0010746414,0.0017905800,-0.0000000076
iterations_fixed,4 iterations,240,4.00000000,3000000.00000000,0.0075366238,-0.0105603253,0.0096502779,0.0010576372,0.0017905800,-0.0000000076
iterations_fixed,4 iterations,480,8.00000000,3000000.00000000,0.0086482332,-0.0116695939,0.0096530979,0.0010492482,0.0017905800,-0.0000000076
iterations_fixed,8 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,8 iterations,30,0.50000000,3000000.00000000,0.0074159903,0.0036491258,0.0090460265,0.0007945565,0.0010070709,-0.0000000076
iterations_fixed,8 iterations,60,1.00000000,3000000.00000000,0.0153489626,0.0115635302,0.0090078954,0.0008317529,0.0010070709,-0.0000000076
iterations_fixed,8 iterations,120,2.00000000,3000000.00000000,0.0307336592,0.0269119870,0.0089330804,0.0009124486,0.0010070709,-0.0000000076
iterations_fixed,8 iterations,240,4.00000000,3000000.00000000,0.0594500707,0.0555581897,0.0087918835,0.0010610513,0.0010610513,-0.0000000076
iterations_fixed,8 iterations,480,8.00000000,3000000.00000000,0.1090920240,0.1050976664,0.0085388971,0.0013056062,0.0013056062,-0.0000000076
iterations_fixed,12 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,12 iterations,30,0.50000000,3000000.00000000,0.0065714859,0.0024101662,0.0083296765,0.0005917699,0.0007392193,-0.0000000076
iterations_fixed,12 iterations,60,1.00000000,3000000.00000000,0.0143662129,0.0101995291,0.0082891816,0.0006256038,0.0007392193,-0.0000000076
iterations_fixed,12 iterations,120,2.00000000,3000000.00000000,0.0300869692,0.0258775745,0.0082011074,0.0006928525,0.0007392193,-0.0000000076
iterations_fixed,12 iterations,240,4.00000000,3000000.00000000,0.0618576520,0.0575603843,0.0080156084,0.0008277518,0.0008277518,-0.0000000076
iterations_fixed,12 iterations,480,8.00000000,3000000.00000000,0.1260980916,0.1216664687,0.0076225949,0.0010810846,0.0010810846,-0.0000000076
iterations_fixed,18 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,18 iterations,30,0.50000000,3000000.00000000,0.0041849061,-0.0001015088,0.0072131520,0.0004332840,0.0005064933,-0.0000000076
iterations_fixed,18 iterations,60,1.00000000,3000000.00000000,0.0095422756,0.0051373877,0.0074170646,0.0004688009,0.0005064933,-0.0000000076
iterations_fixed,18 iterations,120,2.00000000,3000000.00000000,0.0204429944,0.0160015970,0.0073565417,0.0005104828,0.0005104828,-0.0000000076
iterations_fixed,18 iterations,240,4.00000000,3000000.00000000,0.0425801843,0.0380653255,0.0072134831,0.0005953945,0.0005953945,-0.0000000076
iterations_fixed,18 iterations,480,8.00000000,3000000.00000000,0.0879101565,0.0832765773,0.0069000209,0.0007638045,0.0007638045,-0.0000000076
iterations_fixed,24 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,24 iterations,30,0.50000000,3000000.00000000,0.0026303953,-0.0015266616,0.0062554055,0.0003347131,0.0003730921,-0.0000000076
iterations_fixed,24 iterations,60,1.00000000,3000000.00000000,0.0061420959,0.0017355165,0.0066712624,0.0003721154,0.0003730921,-0.0000000076
iterations_fixed,24 iterations,120,2.00000000,3000000.00000000,0.0133532755,0.0089072092,0.0066555524,0.0003995374,0.0003995374,-0.0000000076
iterations_fixed,24 iterations,240,4.00000000,3000000.00000000,0.0279230212,0.0234225243,0.0065576741,0.0004525757,0.0004525757,-0.0000000076
iterations_fixed,24 iterations,480,8.00000000,3000000.00000000,0.0574839870,0.0528888181,0.0063445801,0.0005604769,0.0005604769,-0.0000000076
iterations_fixed,36 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_fixed,36 iterations,30,0.50000000,3000000.00000000,0.0011280268,-0.0025169915,0.0048038056,0.0002173970,0.0002293685,-0.0000000076
iterations_fixed,36 iterations,60,1.00000000,3000000.00000000,0.0026399500,-0.0014340818,0.0054412331,0.0002541381,0.0002541381,-0.0000000076
